DATA,COMENTÁRIO,CLASSIFICAÇÃO
2019-08-24,de tosdas as formas,0
2019-08-24,Se entro com o Facebook também não aceitou minha conta,2
2019-08-24,Inpossivel fazer o login no aplicativo,2
2019-08-24,App trava na parte de analise e progresso de peso,2
2019-08-23,"o aplicativo em si é ótimo, mas pelo segundo aparelho que eu tive(androir) na há como realizar o cadastro, tenho um Samsung Galaxy A9 2018",2
2019-08-22,"Esse aplicativo não está funcionando no meu galaxi S8 Plus, toda vez que clico para ver meu progresso , ele fica com a tela escura e depois aparece a mensagem pra fechar o aplicativo",2
2019-08-22,"Nao quer fazer o login ,lixo de mais",2
2019-08-21,Não conecta com o Samsung healthy e tem muita propaganda,0
2019-08-21,apenas o cardápio funciona todas as demais funcionalidades travam,2
2019-08-21,"App não abre, fica só falando aguarde",2
2019-08-21,horrível não abre depois que a gente se inscreve,2
2019-08-20,"desinstalando, simplesmente por que não consigo realizar cadastro!",2
2019-08-20,era muito bom agora trava toda hora,2
2019-08-19,É impossível abrir o relatório de progresso,2
2019-08-19,Tenho registros desde dez/2017 e não consigo ver em meu Zen Fone 4,2
2019-08-18,A tela fica escura e o app pede para fechar,2
2019-08-18,Demora muito para abrir,4
2019-08-18,pessimo não consigo cadastrar da erro de nome usuário,2
2019-08-18,"Não cadastra, sempre da erro, não gostei, nota 0",2
2019-08-17,"Não consigo logar e nem registrar, sempre dá erro, por favor arrumem isso, quero usar ele, nem logando pelo Facebook consigo",2
2019-08-16,"está tendo um erro de registro, não consigo me registrar, concertem pf",2
2019-08-16,ja usei o app antes e era ok,0
2019-08-16,mas agora eu simplesmente nao consigo adicionar um simples arroz,2
2019-08-16,"ja tentei varios ""arroz diferentes"" e nao entra",2
2019-08-16,Não estou conseguindo acessar o site ou App aparece email inválido,2
2019-08-16,"Nao consigo nem registrar, fica dando sem rede, sendo que tem rede de internet normal",2
2019-08-16,"eu nem consigo entrar, quando vou concluir meu cadastro fica dizendo que nao to com internet",2
2019-08-15,Quando resolver esse problema eu reavalio,0
2019-08-15,preencho todos os dados e no final nao faz o cadastro,2
2019-08-15,"Queria utilizar o aplicativo, mas a caixa de nome de usuário não aceita nada do que coloco e nem dá instruções do que seria necessário",2
2019-08-15,"O app é muito bom, porém ontem ele zerou todo o meu progresso, saí do aplicativo para ver se voltava ao normal, agora não consigo entrar",2
2019-08-15,"Dizem que não estou conectada na internet, sendo que estou",2
2019-08-15,Não consigo registrar o Nome Usuário,2
2019-08-15,Pelo que vi nas resenhas o 'aap' não vale a pena,0
2019-08-14,"o app é ótimo, mas há negligência do desenvolvedor quanto as falhas",0
2019-08-14,Tem mais de ano que o progresso de peso não funciona,2
2019-08-14,Ao clicar em progresso o app trava,2
2019-08-14,Vi que existem várias críticas referente a esse problema e os desenvolvedores não parecem estar atentos,0
2019-08-14,Simplesmente o App não funciona para Android,2
2019-08-14,Dificuldade para realizar cadastro,3
2019-08-12,Cadastro realizado depois de muita insistência,0
2019-08-12,quando pesquiso o alimento no diário o mesmo simplesmente trava e não consigo realizar nada,2
2019-08-12,Esse App para Android é um lixo,0
2019-08-12,segunda vez este ano q tento fazer login e da sempre erros,2
2019-08-12,Não consegui entrar no aplicativo,2
2019-08-10,As duas formas de se inscrever dão erro,2
2019-08-10,Pelo email não aceita meu nome de usuário e pelo facebook simplesmente não funciona,2
2019-08-10,"(Desculpe, n é possível criar sua conta no momento)",2
2019-08-10,Sempre aparece isso quando coloco minha data de nascimento!,0
2019-08-09,aplicativo travando toda hora,2
2019-08-09,"depois do quinto dia de uso, não abre mais",2
2019-08-08,"Aplicativo horrível! disseram q podeia usar um mês grátis, q avisariam antes da primeira cobrança",0
2019-08-08,Nao fizeram e não consigo cancelar,2
2019-08-07,Tá tudo em inglês,0
2019-08-07,"A sincronização com o google fit é ridícula e da erro todos os dias, acabando meu plano vou cancelar, desinstalar e mudar pro fatsecret",2
2019-08-07,"Antigamente era ótimo, agora so vive dando erro",2
2019-08-07,"Tive meus dados compromisados e exposto a Deep Web por causa de uma falha de vocês em Fevereiro de 2018, inclusive me cartao de crédito",5
2019-08-06,"não consegui nem abrir o app , não faz conta nem pelo Facebook nem pelo email !",2
2019-08-05,Não tá dando certo,0
2019-08-04,"muito bom em relação ao que promete, mas deixa vazar na net email e senha, ou vendem",5
2019-08-04,Não consigo registrar nenhum e-mail e nem entrar pelo Facebook,2
2019-08-02,apaguei pq obriga aceita condições de uso,0
2019-08-02,"Já tentei de todas as formas, mas o aplicativo nunca entra pois diz que meu email ou senha são ""invalidos""",2
2019-08-01,"pessimo, não consigo nem me cadastrar no app, só da erro",2
2019-07-31,"o app esta com problemas, nao esta buscando os alimentos, nem alterando calorias ou macronutrientes",2
2019-07-31,"funcionou muito bem no primeiro dia, agora coloco para procurar um alimento e dá erro",2
2019-07-31,"poxa baixei o aplicativo é não consigo terminar de me cadastrar, tentei vários nomes de usuário e sempre da a mesma mensagem : Não foi possível cadastrar esse nome de usuário",2
2019-07-31,Pq não estou conseguindo adicionar nenhum alimento?? Faz apenas 3 dias que utilizo e começou o problema,2
2019-07-31,"Já desinstalei e reinstalei, porém não resolveu :(",0
2019-07-31,Acabei de instalar e já me estressei! Esse app tá dando erro em cima de erro,2
2019-07-31,Agora não valída nenhum nome de usuário que eu tente,2
2019-07-31,"Dei uma estrela só, se eu conseguir que funcione, altero!",0
2019-07-31,"Desinstalei porque de um tempo pra cá ficou péssimo, só fica carregando !!",2
2019-07-31,só da para se cadastrar se for maior de idade?? por que tenho 15 anos e na parte de registrar a minha data de nascimento da erro!,0
2019-07-31,"Ainda com muitas dificuldades para usar certas funcionalidades do App, como por exemplo o progresso, o app trava e eu nao consigo usar",2
2019-07-29,"Ja testei no Moto G5S, Moto Z Play e agora no Galaxy S9, em todos travou, por isso estou dando 3 estrelas",6
2019-07-28,"No mais, o app atende às expectativas",0
2019-07-28,"(Edit 28/07/19) Reduzi para uma estrela, ja se passaram 6 meses e o problema continua",0
2019-07-28,Descaso total da Under Armour com os usuários Android,0
2019-07-28,"nao consigo cadastrar usuario, sempre da invalido",2
2019-07-28,apk lixo nao se adiciona em nada !!! (desintando),0
2019-07-27,nem deixa entrar na app so a perguntar se queremos receber emails,2
2019-07-26,"Essa desgraça só serve pra estressar mesmo, já instalei e desinstalei 4 vezes pq não consigo criar uma conta, diz q o nome é invalido",2
2019-07-26,Tomar no cu vey,0
2019-07-25,"Não consigo me registrar, já tentei com email e facebook, não vai de jeito nenhum",2
2019-07-25,Não consigo baixar! Único app que dá erro,2
2019-07-24,"baixei empolgado, porém fala que meu e-mail é inválido tentei meus 2 e-mail mesmo assim não deu, poderia arrumar esse problema pois vários comentários com o mesmo b",2
2019-07-23,NÃO consigo me cadastrar !!,2
2019-07-22,"Está pedindo acesso demais aos dados pessoais somente para a criação de uma conta, absolutamente desnecessário",0
2019-07-22,O aplicativo não permite que eu me cadastre para usar,2
23 de março de 2021,Excelente uma mão na roda para declarar meu ir esse ano,0
28 de março de 2021, Recomendo,0
28 de março de 2021, Tô com um problema o app pede constantemente a troca de senha do CEI foi trocada e no outro dia já pede novamente,2
23 de março de 2021,Melhor aplicativo para investimentos!! Tem tudo o que é necessário de forma simples e eficiente! Quem investe é obrigatório ter,0
26 de março de 2021,É um aplicativo bom só não consigo adicionar tesouro direto na carteira manual o que atrapalha na visão do meu patrimônio,3
22 de março de 2021, Poderiam me explicar como adicionar o tesouro direto através da carteira manual,3
31 de março de 2021,Muito bom o App em relação a outros apps o ativo demora um pouco mais aparecer na carteira,4
26 de março de 2021, Função seguir é interessante,0
12 de março de 2021,Gostei bastante,0
23 de março de 2021, Mas na parte de Calendário Proventos B3 poderiam colocar uma busca por ação pois é embaçado ter que rolar a página toda para achar a ação que deseja,1
14 de março de 2021, Fora isso um ótimo trabalho!,0
21 de março de 2021,Muito bom! Uma crítica construtiva que faço é na demora da atualização da carteira pelo CEI,0
13 de março de 2021, Leva alguns dias,0
14 de março de 2021,Quase perfeito! Basta só alguns ajustes na usabilidade/desempenho,4
30 de março de 2021, Meus gráficos quase sempre dão erro ou não carregaram,2
9 de março de 2021, Mas gosto bastante!,0
18 de março de 2021,Aplicativo de excelência,0
17 de março de 2021, Estão de parabéns,0
24 de março de 2021, Espero que continue assim,0
17 de março de 2021,Muito bom o APP,0
29 de março de 2021, falta algumas melhorias,0
26 de março de 2021, por exemplo não consegui adicionar as subscrições aparece o código mas não consigo selecionar,3
19 de março de 2021,Um aplicativo simples e eficiente!,0
7 de março de 2021,Excelente App! Uso e recomendo! Muito Boa a opção de colocar ativos no radar com o preço que queremos,0
27 de março de 2021,Experiencia agradável,0
8 de março de 2021, Pra ficar completo só falta acompanhamento de pagamento de cupons de juros de titulos do tesouro da mesma maneira que ocorre com dividendos e JCP das ações e também se mostrasse o histórico de recebimentos de dividendos anterior ao uso do app,1
24 de março de 2021,Bom dia Fiz a Assinatura Premium e o App simplesmente manda eu fazer novamente a assinatura dizendo para fazer a assinatura mensal 5,2
13 de março de 2021,40 sendo que fiz o pagamento da assinatura pelo google pay no valor de 59,0
6 de março de 2021,99 con validade ate 05 Março de 2022,0
18 de março de 2021,￼ Sera possivel vcs fazerem essa correção,0
12 de março de 2021,Muito bom mas estou com um problema,0
26 de março de 2021, Assinei o plano e deu uma atualizada tive que desinstalar e instalar De novo,2
3 de março de 2021, Mas voltou como se eu nunca tivesse assinado mas vem me cobrando os 5,0
3 de março de 2021,49 e não consegui falar com ninguém do suporte,0
15 de março de 2021,Um Máximo de aplicativo uso ele para me auxiliar nas compras e nas posições dos ativo ,0
3 de março de 2021, e tão sempre melhorando o aplicativo,0
9 de março de 2021,Muito bom o app já agrupa todos os meus ativos em uma tabela só fica muito mais fácil para ver a valorização,0
19 de março de 2021,Ótimo app,0
20 de março de 2021, Bem funcional e intuitivo,0
15 de março de 2021, Acredito que seja um dos melhores na versão gratuita,0
1 de março de 2021,Testando o aplicativo a versao paga eu estou gostando,0
22 de junho de 2020, faltou a opção acompanhamento em tempo real na bolsa de valores assim dava para saber como anda preço das ação ,1
16 de outubro de 2020, Que estamos investindo,0
5 de abril de 2019,Ótimo app,0
14 de novembro de 2017, Só tenho uma dúvida de que fonte vocês tiram as informações sobre dividendos? Porque sou iniciante então ainda resta bastante dúvidas,0
29 de novembro de 2016, Abc!,0
28 de janeiro de 2013,O melhor app pra gestão dos investimentos,0
1 de agosto de 2020, Como melhoria na parte de indicadores poderia haver o patamar ibovespa,1
8 de novembro de 2019, Alguma previsão para termos esse dado no app?,0
29 de maio de 2020,É um ótimo aplicativo para controlar seus investimentos em um só lugar,0
26 de agosto de 2014,Perfeito,0
3 de junho de 2020,Estou adorando a experiência tanto os resumos diários como a facilidade de uso,0
5 de junho de 2013, Se tivesse um campo pra adicionar os investimentos em renda fixa manualmente(sem ser o tesouro) com alerta de vencimento como faz com os dividendos seria bem legal,1
14 de junho de 2014, A assinatura é um preço super acessível e vale a pena… Resenha completa,0
21 de novembro de 2019,Estou gostando do App,0
20 de janeiro de 2017, Uma sugestão seria explorar as Small Caps e as Microcaps como Altas e Baixas do dia entre outras informações,1
28 de outubro de 2019,Já usei diversos apps e este é disparado o mais completo,0
22 de dezembro de 2015, Parabéns aos criadores pois o app só tem melhorado,0
5 de outubro de 2015,Acho um aplicativo muito enjeçado não dá pra ver muitas funções é limitado!,0
11 de janeiro de 2017,Muito bom!,0
4 de janeiro de 2017,Muito bom tem como ver até meus investimentos em criptomoedas eles avisam quando e quanto vão ser seus próximos dividendos e tals super recomendo ele é bastante completo mesmo,0
10 de agosto de 2020,Acho o mais completo principalmente os gráficos mostrando os setores onde estou alocado,0
26 de outubro de 2016, Mas a demora na atualização da carteira demora demais,4
6 de julho de 2019, Baixei outro aplicativo que é muito mas muito mais rápido pra atualizar pois já tava sem paciência,0
16 de julho de 2018, Torço pra que corrigam isso,0
18 de novembro de 2017, Curto demais o app,0
26 de julho de 2018,Excelente,0
27 de setembro de 2017,Muito bom,0
3 de junho de 2020,Só falta uma barra de pesquisa no calendário de dividendos para facilitar o filtro na busca da Ação que a gente tá procurando! Obg,1
13 de março de 2017,Ótimo app,0
5 de março de 2019,Como fui atendido na minha dúvida estou mudando meu posicionamento,0
9 de março de 2020,Seria interessante fazer a sincronia com a Binance maior exchange de criptomoedas,1
29 de abril de 2020,Gosto do AP até assinei mas hoje fui colocar um aporte em UCAS3 E o ativo sumiu da carteira mas ainda consta nos aporte e nas vendas,2
9 de maio de 2017,Como volto ele pra carteira ?,0
15 de abril de 2012,Olá dúvida a rentabilidade que se apresenta é mensal? Anual? Acumulada de toda carteira por tempo e ativos ? Acredito que as 3 informações são de suma importancia para acompanhar desempenho da carteira e visão refletida sobre tomadas de deduções,0
5 de outubro de 2019,Seria ainda melhor se houvesse a integração com a Avenue,1
19 de março de 2015,Está ficando cada vez melhor parabéns aos criadores do aplicativo,0
22 de janeiro de 2020,Ótimo app pra acompanhar as ações,0
14 de dezembro de 2015,Sou assinante e gosto muito porém a prometida atualização para solucionar o problema de integração com o Passfolio não sai nunca!,0
23 de agosto de 2019,Por enquanto e o melhor aplicativo no seguimento,0
7 de junho de 2020, Mas tenho uma dúvida na aba melhores dividendos diz que a ação BBSE3 vai pagar 414 de dividendos enquanto na Net diz que e 040 e poucos centavos,0
22 de outubro de 2020, Daí não entendi se no app a cotação e anual ou mensal,0
13 de fevereiro de 2020,App fechou com o que eu procurava,2
15 de novembro de 2020, Só não sei se ele recalcula o PM com a recompra!!! Para mim se recalcular fica perfeito,0
12 de março de 2019,Atualizei o app e não consegui fazer login novamente,2
15 de dezembro de 2015,Excelente app só não estou conseguindo adicionar minha conta do Passfolio porque parece que tem limite de caracteres no email,3
17 de julho de 2018,Muito bom! Objetivo e claro na disposição e visualização dos conteúdos,0
8 de junho de 2020, Só falta mesmo uma opção para IR daí seria muito mais perfeito!😎👏,0
8 de setembro de 2020,Topper!,0
31 de outubro de 2019,Show,0
10 de setembro de 2020,Aplicativo facilita e ajuda muito ,0
4 de maio de 2016, Cumpre com o que promete e muito mais,0
7 de agosto de 2019, Apenas 2 erros,0
15 de fevereiro de 2016, 1 sobre a carteita sincronizada com a passfolio não consigo sincronizar a minha pois há um limite de caracteres no campo do email e se o email for grande como o meu não cabe todos os caracteres impossibi,3
3 de dezembro de 2016,Um aplicativo simples e eficiente!,0
21 de setembro de 2019,Aplicativo de excelência,0
23 de agosto de 2017, Estão de parabéns,0
26 de junho de 2019, Espero que continue assim,0
10 de novembro de 2020,Excelente App,0
21 de agosto de 2019, Vale a pena comprar a versão Premium,0
13 de janeiro de 2021, Porém poderia incluir relatório para o IRPF,1
1 de setembro de 2018,Muito bom app,0
15 de maio de 2020, Instalei sem muita expectativa mais estou gostando muito por enquanto,0
21 de março de 2017, Parabéns,0
9 de fevereiro de 2019,Excelente aplicativo,0
15 de setembro de 2014,Muito bom o aplicativo,0
15 de novembro de 2017, Poderia ter o gráfico de evolução mais simples com o ibovespa junto,1
20 de julho de 2020,Eu realmente gostava do app mas ultimamente ele vem apresentando diversas inconsistências,0
7 de março de 2019, por exemplo não consegui adicionar as subscrições aparece o código mas não consigo selecionar,3
15 de julho de 2020,Não aparece os dividendos provenientes dos FII's,2
24 de junho de 2016, Há algo de errado um bug por exemplo?,0
7 de março de 2020,cada dia melhor estou só esperando algo a mais que vale apena pra pegar o plano,0
28 de junho de 2019,App travando muito não carrega automaticamente minha carteira com o CEI,4
12 de abril de 2016,Vai levar um 5 pq o atendimento aqui foi de excelência e corrigiram o problema que relatei,0
13 de novembro de 2019, Parabéns,0
17 de outubro de 2017, Acho que vou até assinar!,0
19 de maio de 2019,Muito bom,0
19 de setembro de 2019,Excelentes,0
6 de junho de 2019,Cancelei a assinatura e vi agora que continuou cobrando,2
8 de agosto de 2020, Quero remover minha conta e o ressarcimento do que foi cobrado,0
23 de novembro de 2020,Depois da última atualização o Calendário de dividendos simplesmente não carrega,4
15 de junho de 2020,O calendário de dividendos que mostra a rentabilidade de diversas ações do Brasil e exterior não está funcionando só fica carregando,4
28 de junho de 2018, Corrijam,0
23 de abril de 2020, O problema é que assim que clico no calendário só fica carregando e trava o APP não dá opção para pesquisa no filtro,0
12 de novembro de 2020, 🤦🏾‍♂️ Após conversa com um rapaz do… Resenha completa,0
29 de maio de 2018,A cada atualização fica melhor estão de parabéns,0
28 de junho de 2016,Lento não atualiza rápido para completar as principais informações repassadas aqui necessitam de uma assinatura não há período de testes ou tempo para análise apenas o plano e pronto,4
30 de agosto de 2015, Quando tentei atualizar o calendário de dividendos demorou muito e não atualizou nada infelizmente não atende,4
3 de março de 2017,Testando o aplicativo a versao paga eu estou gostando,0
25 de agosto de 2020, faltou a opção acompanhamento em tempo real na bolsa de valores assim dava para saber como anda preço das ação ,1
4 de setembro de 2017, Que estamos investindo,0
15 de novembro de 2019,Excelente uma mão na roda para declarar meu ir esse ano,0
9 de maio de 2019, Recomendo,0
1 de janeiro de 2017, Tô com um problema o app pede constantemente a troca de senha do CEI foi trocada e no outro dia já pede novamente,2
25 de julho de 2018,Gosto porque vejo todos meus ativos gráficos etc pago um pouquinho e me ajuda bastante,0
10 de outubro de 2017,As vezes demora um pouquinho para atualizar mas me atende bem,4
24 de fevereiro de 2018,O Aplicativo sai da sincronização com o CEI frequentemente umas 3 vezes ao dia eu tenho que efetuar a sincronização,0
2 de janeiro de 2021, Isso incomoda bastante,0
7 de fevereiro de 2018,O aplicativo é interessante gosto bastante,0
9 de dezembro de 2017, Eu só não compreendo a dificuldade da atualização dos ativos,0
22 de março de 2019," Você recebe a notificação de que """"""""foram detectadas vendas ou compras"""""""" de determinados ativos mas eles continuam aparecendo na carteira",0
21 de março de 2021, Mesmo forçando a sincronização da carteira eles não sao… Resenha completa,0
19 de maio de 2020,Estou gostando muito desse aplicativo! Recomendo!,0
26 de janeiro de 2013,Experiencia agradável,0
25 de setembro de 2017,Ótimo melhor que todos os outros app,0
20 de fevereiro de 2019,Como faço para migrar para o plano gratuito? Depois que fiz a assinatura não é disponibilizado forma de cancelamento,0
24 de agosto de 2020,Completo!,0
11 de janeiro de 2019,Tive problemas com o app entrei no grupo do whatsapp do suporte e me negligenciaram,0
26 de setembro de 2018, Apareceu uma pessoa com patrimônio enorme e pediram até o e-mail dele para tentar solucionar,0
15 de setembro de 2018, Já o meu nem abriram os prints que eu mandei,0
26 de junho de 2016, Tentaram ajudar por cinco minutos,0
21 de setembro de 2019, Enfim recomendo que baixem o app pois… Resenha completa,0
13 de agosto de 2018,Gosto muito prático e fácil,0
26 de maio de 2020,O meu está bugado,0
15 de agosto de 2018, Apresenta resultados do,0
16 de julho de 2020,dia totalmente enlouquecidos,0
24 de fevereiro de 2016, Isso passou a ocorrer depois da ultima atualização,0
24 de janeiro de 2018,Excelente aplicativo,0
3 de agosto de 2016,Muito bom esse aplicativo ficaria melhor se o aplicativo cobrar o valor pra ser vip uma unica vez vitalicio Pagar todo mês dá pra mim não,0
24 de julho de 2019,Poderia ter opção de colocar a data para podermos avaliar o desempenho em determinado período,1
20 de novembro de 2020,Muito bom!,0
17 de outubro de 2017,Excelente App! Uso e recomendo! Muito Boa a opção de colocar ativos no radar com o preço que queremos,0
3 de maio de 2018,Sem palavras,0
1 de maio de 2016, Facilidade 100%,0
3 de outubro de 2017,Interface mau otimizada,3
6 de agosto de 2011,Excelente APP e agora com os próximos dividendos na página inicial ficou muito bom,0
31 de dezembro de 2017,Excelente app,0
12 de maio de 2017,!!! e o suporte dos responsáveis pelo app é incrível fazem de tudo para cada dia mais melhorar o app e fazem de tudo para resolver suas dúvidas ou qualquer problema que tiver,0
3 de abril de 2020, Obrigado e parabéns 👏👏👏👏,0
6 de dezembro de 2016,Ótimo app,0
22 de junho de 2020,Não está permitindo excluir uma carteira porque ?,0
25 de novembro de 2019,Amo o app pois ele me mostra os valores que tenho pra receber dos meus ativos,0
25 de novembro de 2019,Péssimo horrível,0
25 de novembro de 2019,Fantástico,0
17 de novembro de 2017,Aplicativo muito bom,0
17 de novembro de 2017,Otimo e vem melhorando cada vez mais,0
17 de novembro de 2017,Muito bom o app!,0
28 de março de 2021,Excelente app,0
29 de março de 2021,Top demais,0
27 de março de 2021, Parabéns para toda a equipe,0
31 de março de 2021, Gosto muito das funcionalidades,0
31 de março de 2021, Sigam firmes!,0
27 de março de 2021,Olá,0
27 de março de 2021, Faz falta a opção de tela escura,1
28 de março de 2021, A luz emitida em branco ofusca os olhos,0
31 de março de 2021,Super prático e funcional,0
27 de março de 2021,De todos apps de gestão de investimento esse foi o melhor que testei,0
28 de fevereiro de 2021,Muito bom o App em relação a outros apps o ativo demora um pouco mais aparecer na carteira,4
17 de março de 2021, Função seguir é interessante,0
18 de março de 2021,Bom,0
13 de março de 2021,O App Nei vou comenta e só baixar e ver testa eu achei show obrigado dividendos vocês são os cara e tudo em tempo real direto da bolsa,0
10 de março de 2021,Muito bom,0
23 de março de 2021, Atualiza sozinho só não consigo ver preço das ações para não precisar abrir H,2
14 de março de 2021, Broker,0
15 de março de 2021,Gostei bastante,0
22 de março de 2021, Mas na parte de Calendário Proventos B3 poderiam colocar uma busca por ação pois é embaçado ter que rolar a página toda para achar a ação que deseja,1
15 de março de 2021, Fora isso um ótimo trabalho!,0
2 de março de 2021,Muito bom,0
7 de março de 2021,É um dos melhores app que eu já encontrei 👏🏼👏🏼👏🏼,0
23 de fevereiro de 2021,Muito bom esse App poderia ser excelente se tivesse criptomoedas e ações globais,1
20 de fevereiro de 2021, Mesmo assim gosto muito!!,0
28 de fevereiro de 2021,Não consigo recuperar minha senha diz que o email é inválido! Tento fazer um novo cadastro e diz que o email já está cadastrado!,0
28 de fevereiro de 2021,Muito bom!,0
18 de março de 2021, Meus gráficos quase sempre dão erro ou não carregaram,2
16 de março de 2021, Mas gosto bastante!,0
16 de março de 2021,Aplicativo muito útil,0
22 de fevereiro de 2021,como faço para adicionar previdência (BB) que tenho ?,0
24 de fevereiro de 2021,Gosto do aplicativo,0
5 de março de 2021,Ja uso a 8 meses e agora nao abre mais nada ,2
5 de março de 2021,tenso viu,0
23 de março de 2021,ta pedindo um Token pra fazer senha nova onde vejo esse TOKEN?,0
4 de março de 2021,Muito bom mas estou com um problema,0
3 de abril de 2019, Pontos positivos: -Tem boa estabilidade -Tem bom design -Tem gráficos -Versão grátis sem enchimento de ads -Planos pagos bem acessíveis Pontos Negativos: - Não tem como adicionar nenhum investimento em renda fixa a não ser o Tesouro Direto,0
11 de junho de 2020,"Ótimo (só uma dúvida) no calendário dos dividendos após dezembro tem """"""""Ind""""""""",0
11 de agosto de 2018, O que significa?,0
27 de outubro de 2013,Maravilhoso fácil de mexer muito bem elaborado vocês estão de parabéns !,0
24 de outubro de 2014,Ótimo app,0
13 de junho de 2018,Ainda faltam muitos recursos que todos os outros aplicativos já tem,0
5 de outubro de 2015, Mas o aplicativo é excelente,0
12 de maio de 2015,O layout é muito legal porém a sincronização/atualização dos dados demora muito em relação a outros os apps do gênero,4
10 de janeiro de 2019,App não realiza o cadastro de novos usuários,2
25 de janeiro de 2015, Após inserir as informações ele carrega e nada acontece,2
23 de dezembro de 2014,Muito fácil pra acompanhar o preço porém não buscou os dividendos que recebi antes de começar usar o app,2
9 de outubro de 2015, Queria saber quanto recebi de dividendos desde q comecei investir e não desde quando comecei usar o app,0
1 de maio de 2014, Alguém pode me ajudar?,0
17 de fevereiro de 2019,Bom,0
23 de agosto de 2018,Gostei do estilo mas por que nâo mostra meus proventos?,0
12 de junho de 2018,Já recebi mais dividendos do q consta no app,0
21 de julho de 2019,O melhor App de controle de investimentos,0
20 de fevereiro de 2019, O único que traz tudo o que necessito,0
26 de maio de 2015,Preço justo aplicativo que tem todas as informações necessárias,0
7 de agosto de 2017, Parabéns pelo bom app,0
1 de março de 2019,Instalei no meu celular mas não consigo abrir no meu pc porque?,6
2019-10-16,Poderia melhorar o visual na hora de procurar pelos proventos recebidos ou a receber e dar mais informações sobre as ações e fundos como histórico pra facilitar a escolha do investidor e avaliar se compensa obter ou manter a ação ou fii,3
2019-10-16,Gosto muito da plataforma mas ainda o aplicativo está muito a desejar,0
2019-10-16, espero que com o tempo ele fique cada vez melhor,0
2019-10-15, Ah e o app pra smart tv Android não dá pra mudar o áudio e legendas,6
2019-10-12, Só consegui assistir dublado pelo Chromecast agora direto pelo app da Android tv não,6
2019-10-10, Espero que resolvam isso… Resenha completa,0
2019-10-09,Apesar de ter uma boa variedade de filmes a qualidade do vídeo e dos áudios nas versões dubladas são péssimos,0
2019-10-09, Atrasos nas dublagens e imagens pixeladas ,4
2019-10-03, Não recomendo ,0
2019-09-14,O conteúdo é ótimo não tenho do que reclamar mas o app precisa melhorar muito,0
2019-09-12, App pesado com bugs e sem opção de pausar retrosceder ou avançar o video,2
2019-09-10,Pior aplicativo de streaming,0
2019-09-04, Tentei várias vezes fazer uma assinatura e não consegui,0
2019-09-04, Ora diz que o cartão não é válido outra apresenta erro 400,2
2019-09-03, Depois de mais de 10 tentativas desisti,0
2019-08-30,Após muito tempo finalmente o app atualizou para a plataforma Android TV,6
2019-08-28, Na verdade foi portado do Android,0
2019-08-24,Esse aplicativo para Tv Box Android Tv é muito ruim tinha que atualizar ele se não vou cancelar minha assinatura eu gosto de ver na TV e o aplicativo na tv e muito ruim péssimo quando atualizarem para uma versão igual de celular dou mais estrelas,6
2019-08-24, Espero que leiam o que escrevi porquê pelo … Resenha completa,0
2019-08-18,Funciona no Android já no notebook cada vez que entro pelo Firefox registram novamente um novo dispositivo,6
2019-08-12, Alguns vídeos engasgam bastante no notebook (Firefox) o que não ocorreu no Android,6
2019-08-10, Durante 2 meses paguei o Plano Master mas não tive acesso ao aluguel gratuito prometido,2
2019-08-07, Então resolvi reduz… Resenha completa,0
2019-07-31,Péssimo! Extremamente lento pesado cheio de bugs! O tempo todo some a opção de assistir ao invés disso aparece a opção de alugar ou comprar mesmo com a assinatura ativa,2
2019-07-31, Aí você tem que fechar o aplicativo limpar o cache e voltar pra ele atualizar,0
2019-07-24, Nada prático! Também tem poucas séries,0
2020-03-17,Não funciona tenho parceria com operadora,0
2020-03-14," não funciona pra criar conta """"""""erro desconhecido""""""""",2
2020-03-14, propaganda enganosa e n foi por falta de tentativa,0
2020-03-14,Por favor atualizem o app para que possa baixar os conteúdos que eu já comprei para poder assistir offline,0
2020-03-14," O app até já tem uma aba escrita """"""""Download"""""""" que mostra os conteúdos que já foram baixados para poder assistir offline mas ainda não encontrei em lugar nenhum algum botão de baixar cada epi… Resenha completa",0
2020-03-13,Achi difícil de usar mesmo havendo vários outros aplicativos de streaming no mercado a plataforma se mantém pouco intuitiva porém o serviço que assino faz parte do meu pacote de serviços da operadora portanto não fico no prejuízo,0
2020-03-11, Porém não assinaria o programa se precisasse pagar,0
2020-03-09,O aplicativo é muito ruim! Antes de assinar pelo aplicativo tinha comprado o canal pelo Primevideo,0
2020-03-08, Cancelei porque travava demais e a legenda aparecia antes da imagem não tinha sincronismo! Decidi dar uma segunda chance assinando diretamente pelo app e já estou arrependida! Tem muito conteúdo po… Resenha completa,4
2020-03-08,É muito boom as séries e filmes o app e incrível tem opção de idiomas a imagem perfeita 🥰 mais porém não achei a série q eu quero tanto assistir,0
2020-03-07,O app não está funcional,0
2020-03-07,O aplicativo é péssimo,0
2020-03-05, Trava a cada minuto,4
2020-03-05, Aluguei o filme e não consegui sair dos 10 primeiros minutos,0
2020-03-05, Arrependimento dinheiro jogado fora falta de respeito com o cliente,0
2020-03-04, Não funciona na smart tv nem no celular,6
2020-03-04, Desinstalar essa 💩 do meu celular pq não presta,0
2020-03-04,Não comprem o app sempre dar problema toda vez que vai entrar o app exclui sua conta e vc tem que fazer o login novamente aí começa a dor de cabeça só dar erro,2
