Data	Comentário	Sentimento	Classificação
2019-08-15	acho q devia ter alguma opção q ajudasse nisso	Bom	Funcionalidade
2019-08-15	alguma coisa a mais	Ruim	Funcionalidade
2019-07-31	"Vi que cada dia no ""plano iniciante"" tem 18 treinos/exercicios para serem feitos"	Ruim	Funcionalidade
2019-07-31	Eu preciso necessariamente fazer os 18 exercicios por dia pra ter o efeito desejado? Achei uma carga muito grande de exercicios, tenho até medo de me lesionar	Bom	Funcionalidade
2019-07-30	Esse app é excelente, porém deveria ter a opção de fazer login para poder acessar os mesmos dados em outros dispositivos	Ruim	Funcionalidade
2019-04-28	esse app é otimo	Bom	Não-Informativo
2019-04-22	Fiz a 1°etapa,amei	Bom	Funcionalidade
2019-04-22	Tenho certeza que vou consegui chegar em minha meta	Bom	Confiabilidade
2019-03-23	muito bom recomendo muito	Bom	Não-Informativo
2019-03-21	"esta aplicação é boa porque ajudar a perder peso mas na minha opiniao ""voces"" deviam questionar o peso da pessoa primeiro e depois dizer quaia sao os exercícios que a pessoa deve fazer para ficar magra"	Ruim	Funcionalidade
2019-03-20	eu estou gostando bastante,ta me ajudando a perder peso	Bom	Não-Informativo
2019-03-18	Muito bom mas poderia ser melhor 😉	Bom	Funcionalidade
2019-03-15	Muito bom o aplicativo, roda direitinho, bem explicativo e incentivador	Bom	Não-Informativo
2019-03-14	achei bom mas deveria tambem passar treinos nos aparelhos da academia acho q ficaria completo o app	Bom	Funcionalidade
2019-03-14	Gostei do treino e apresentou resultados	Ruim	Funcionalidade
2019-03-14	Tem que ter disciplina e associar uma alimentação saudável	Bom	Funcionalidade
2019-03-13	bom gostei bastante e emagaresi 4 quilos	Bom	Não-Informativo
2019-03-12	Parece ser bom mais ainda não usei, caso eu ver resultado, dou a última estrela	Ruim	Segurança
2019-03-12	muito bom o app, ate agora não tenho o que reclamar, super recomendo	Bom	Não-Informativo
2019-03-08	bom mais nao to vendo resultado em 2 semanas	Ruim	Confiabilidade
2019-03-05	Simples e direto, auxilia em práticas de exercícios rápidos	Bom	Eficiência
2019-03-05	se aliar os exercícios a uma dieta saudável sinples, os resultados são bastante rápidos	Bom	Funcionalidade
2019-03-05	tem alguns anúncios, mas nada que incomode	Ruim	Usabilidade
2019-03-04	maravilhoso	Bom	Não-Informativo
2019-03-04	 amei o app	Bom	Eficiência
2019-03-01	estou gostando ja estou no 5 dia	Bom	Não-Informativo
2019-02-28	gostei muito do aplicativo, se deixar a internet desligada nao tem nenhum anúncio para atrapalhar	Ruim	Usabilidade
2019-01-05	Estou gostando muito do aplicativo, hoje é o meu 3°dia e estou super empolgada com os treinos assim que eu começar a obter resultado volto aqui comentar e dar mais uma estrela	Ruim	Confiabilidade
2018-10-18	Gosto da aplicação, mas sugeria que tivesse uma opção com exemplos de cardápios saudáveis e exemplos de receitas	Ruim	Funcionalidade
2018-10-18	Aí ficaria perfeita e mereceria os 5 de avaliação sem dúvida alguma seria a melhor aplicação de sempre	Ruim	Não-Informativo
2018-10-18	Uma dúvida, o treino alinhamento manhã e noite e para ser feito também??	Bom	Funcionalidade
2018-10-16	Até agora estou gostando bastante, até pq estava meio sedentária e precisava de alguém que me ajudasse com exercícios	Bom	Não-Informativo
2018-10-15	Senti falta de um alongamento inicial	Bom	Funcionalidade
2018-10-14	Não está a deixar inserir a minha altura	Ruim	Confiabilidade
2018-10-14	Diz que não é valida	Ruim	Confiabilidade
2018-10-11	Acho que a queima de calorias com a quantidade do tempo está muito alta	Bom	Eficiência
2018-10-02	Em teste aparentemente um bom app	Bom	Não-Informativo
2018-10-02	Muito bom	Bom	Não-Informativo
2018-10-02	 Ajuda muito na perca de peso	Bom	Confiabilidade
2018-10-02	Pena que não inclui dieta e não manda alertas para treino	Ruim	Funcionalidade
2018-10-01	O aplicativo e excelente	Bom	Não-Informativo
2018-10-01	Gosto muito, que pena que quando trocamos de celular perdemos nossa evolução	Ruim	Confiabilidade
2018-10-01	Eu gostei mais ainda tô no 3 dia do iniciante	Bom	Funcionalidade
2018-10-01	da para o gasto	Ruim	Não-Informativo
2018-09-30	Eu amei, dentre 30 dias eu estou lisinha nossa, impressionante	Bom	Segurança
2018-09-30	Muito obrigado me ajudou bastante	Bom	Não-Informativo
2018-09-25	Comecei hoje e gostei da metodologia do app	Bom	Confiabilidade
2018-09-22	De acordo com pesquisas e orientações de professores de educação física, eles orientam fazer abdominais 1 dia sim e 1 dia não	Ruim	Segurança
2018-09-22	Neste aplicativo tem 30 dias, e acredito que deve-se fazer os 30 sem pausa	Ruim	Não-Informativo
2018-09-22	Estou errado? Isso pode trazer alguma consequência? Forçar o abdômen todo dia não faz mal? Fiz o 1 e 2 dia, achei muito bom, no 1 dia forçou bem o abdômen já no 2 dia teve exercícios pras costas e etc	Ruim	Funcionalidade
2018-09-22	Vai sempre variar os exercícios pra não trazer problemas em relação ao abdômen?	Ruim	Confiabilidade
2018-09-21	Só fiquei frustrada que ao final dos 30 dias não tenha uma continuidade	Ruim	Não-Informativo
2018-09-20	Os bacon chega a chorar #vemmonstro	Ruim	Usabilidade
2018-09-19	Minha filha que me indicou, vou começar amanhã	Bom	Não-Informativo
2018-09-18	Gostei muitooo desse app	Bom	Não-Informativo
2018-09-18	Tem um cronograma certo depende da pessoa seguir achei bom vamos ver o resultado daqui uns quinze dias	Bom	Segurança
2018-09-18	Eu baixei hj, vou começar amanhã com os treinos em casa, mas já fiz o alongamento para dormi e funcionou muito bem ❤️❤️	Ruim	Não-Informativo
2018-09-15	Hoje foi meu primeiro treino e gostei bastante 	Bom	Não-Informativo
2018-09-14	E top para gordos	Bom	Usabilidade
2018-09-13	Eu gostei do app e muito bom	Bom	Não-Informativo
2018-09-11	Eu curti ele vem me ajudando é um bom APP p auxiliar na perca de peso	Bom	Não-Informativo
2018-09-11	Ainda não testei mas parece ser bom	Bom	Não-Informativo
2018-09-10	Gostei muito, mas o áudio deveria ter a opção de português	Ruim	Funcionalidade
2018-09-09	O APP é bom, to precisando perde uns quilos MSM,então espero que esse APP me ajude	Bom	Não-Informativo
2018-09-08	E muito bom amei????????	Bom	Funcionalidade
2018-09-06	Não é possível anular os anúncios e publicidade	Ruim	Usabilidade
2018-09-02	Gostei muito	Bom	Funcionalidade
2018-09-02	 Só acho q falta uma música animada de fundo	Bom	Eficiência
2018-09-02	Está atendendo a minha expectativa	Ruim	Não-Informativo
2018-09-01	Está me ajudando muito estou emagrecendo rápido????????	Bom	Eficiência
2018-08-31	Com quanto tempo +/- eu vou sentir uma diferença??? (Lembrando que estou me alimentando pouco e de forma saudável)	Bom	Funcionalidade
2018-08-30	Só vou da 5 estrelas quando eu tiver um resultado quando começar o treino	Ruim	Confiabilidade
2018-08-28	Curti bastante comecei agora se eu obtiver resultados eu volto para falar	Bom	Não-Informativo
2018-08-27	Comecei e estou amando	Bom	Eficiência
2018-08-25	Muito boa Eu tenho 13 anos e é bom 	Bom	Não-Informativo
2018-08-25	Bom sinda nao testei mais acho q e bom	Bom	Não-Informativo
2018-08-24	É prefeito tanto pra quem já praticava, quanto pra quem ainda vai começar, amei	Bom	Eficiência
2018-08-23	Muito bom	Bom	Não-Informativo
2018-08-23	 Basta ter disciplina	Bom	Funcionalidade
2018-08-22	To tentando ser fitnes vamos la 1 dia so resta 4 dias so salada	Ruim	Confiabilidade
2018-08-22	Ele é bom ajuda muito	Bom	Não-Informativo
2018-08-20	será que isso e verdade	Ruim	Não-Informativo
2018-08-19	"Eu gostei do app realmende ajuda mas eu ja fiz varias vezes o prumeiro dia 
e aparece 100% concluido mas dps eu saio do app e volta no 0% pfv melhorem 
isso"	Ruim	Confiabilidade
2018-08-17	Só irei dar minha opinião depois que testar o aplicativo	Ruim	Não-Informativo
2018-08-16	Eu adorei o problema é esse 5 4 3 2	Bom	Não-Informativo
2018-08-15	"E muito bom gostei só acho que poderia ter menos anúncio mais tá bem bacana 
,"	Bom	Funcionalidade
2018-08-15	Me sinto bem melhor, depois que usei ele	Bom	Funcionalidade
2018-08-14	"Eu estava pensando 46 faz uma semana estou com 39, ele é ótimo minha 
cintura era 97 agora tá 85"	Ruim	Segurança
2018-08-14	"o app está com um bug onde quando eu aperto para mudar pro próximo 
exercício meu celular simplesmente apaga, como se tivesse desligado"	Ruim	Confiabilidade
2018-08-11	"App muito bom estou fazendo faz alguns dias e já no to uma grande diferença 
juntamente com boa alimentação saudável é top pra alcançar o que se quer"	Bom	Não-Informativo
2018-08-09	To vendo resultados ja	Ruim	Segurança
2018-08-07	Tô no segundo dia e parece que promete	Ruim	Eficiência
2018-08-06	"Eu já estou fazendo exercícios com esse aplicativo a 2 meses não vi grandes 
resultados mas motiva a continuar tanto que já estou fazendo a 2 meses kk e 
exercita se faz bem"	Ruim	Eficiência
2018-08-03	"Tenho 11 anos???? vou ver se é Bom,estou em fase de crescimento,quero 
emagrecer"	Bom	Funcionalidade
2018-08-03	Olá	Ruim	Não-Informativo
2018-08-03	" Tenho uma dúvida os exercícios que não tem segundos apenas x quando 
sei que devo parar? Devo eu contar e eu mesmo paro?"	Ruim	Funcionalidade
2018-08-02	Muito bom para o treino	Bom	Funcionalidade
2018-08-01	Super recomendo, estou amando	Bom	Não-Informativo
2018-08-01	É otimo mas apareceu muitos anucios n meu cell td hr	Bom	Não-Informativo
2018-08-01	"mas na 
questão do treinamemto é maravilhoso"	Bom	Não-Informativo
2018-07-31	Eu estou baixando agora, então ainda não tenho uma opinião formada	Ruim	Segurança
2018-07-29	É muito bom esse aplicativo	Bom	Não-Informativo
2018-07-25	Esse apl é muito bom	Bom	Não-Informativo
2018-07-25	Gostei é bom pra aquém que perder gordura	Bom	Funcionalidade
2018-07-23	"Quem aí perdeu gordura e tá com a barriga lisa? Pq para eu baixar eu 
preciso saber se o aplicativo é bom"	Bom	Funcionalidade
2018-07-23	Estou começando agr mas parece ser bom	Bom	Eficiência
2018-07-18	Estão dizendo q o APP é bom, eu to instalando	Ruim	Confiabilidade
2018-07-18	"Quando eu instalar e se eu 
gostar eu dou 5 estrelas"	Ruim	Compatibilidade
2018-07-17	Vou dar 5 estrelas quando ver omu resultado por enquanto é 4 estrelas	Ruim	Confiabilidade
2018-07-12	Muito bom mesmo ajuda muito a perder peso	Bom	Não-Informativo
2018-07-12	Estou gostando, os exercícios são bem puxados, espero que dê resultados	Bom	Funcionalidade
2018-07-11	Estou gostando bastante, os exercícios são bem explicados	Bom	Não-Informativo
2018-07-09	Muito valido, estão de parabéns	Bom	Não-Informativo
2018-07-07	Eu e a esposa estamos amando treinar usando estas dicas	Bom	Funcionalidade
2018-07-05	Estou adorando os alongamentos	Bom	Eficiência
2018-07-05	"Coloca a opção de escolher pelo tempo e não apenas pela quantidade de 
exercícios"	Ruim	Funcionalidade
2018-07-03	Eu achei esse aplicativo muito bom	Bom	Não-Informativo
2018-07-03	E muito legal o que falta nele é	Ruim	Funcionalidade
2018-07-03	"não 
sei ele é muito bom"	Ruim	Confiabilidade
2018-07-03	Gostei muito do ap	Bom	Confiabilidade
2018-07-02	Eu botei gostei porque demora muito para pessoa emagrecer	Bom	Eficiência
2018-06-29	Acabei de baixar, gostei muito	Ruim	Funcionalidade
2018-06-29	"Daqui um mês volto pra ver se realmente 
merece 5 estrelas"	Ruim	Não-Informativo
2018-06-29	aparentemente bom, ainda vou iniciar	Bom	Segurança
2018-06-28	To baixando se for bom MSM dou mas estrelas	Ruim	Compatibilidade
2018-06-26	Eu estalei agora se for bom eu dou 5 estrela	Ruim	Compatibilidade
2018-06-25	Vou fazer o treino se for bom mesmo volto aqui pra falado resultado	Ruim	Não-Informativo
2018-06-25	Gente, como faço para perder a barriga mas não perder peso	Ruim	Não-Informativo
2018-06-25	" Não queria 
emagrecer, apenas perder a barriga"	Ruim	Não-Informativo
2018-06-23	É top, só gostaria de saber se é recomendado fazer os exercícios em jejum	Bom	Funcionalidade
2018-06-22	Eu gostei,não amei,porque nem é pessoa para eu amar	Bom	Funcionalidade
2018-06-17	"A aplicação está muito boa, não sou 5* porque por vezes no exercício de 
prancha não contabiliza o tempo de exercício aparecendo o nº de repetições"	Ruim	Confiabilidade
2018-06-17	Hoje por exemplo seriam 36seg e aparecia 36x	Ruim	Confiabilidade
2018-06-17	Tirando isso gosto imenso	Bom	Funcionalidade
2018-06-14	Aumentem volume do guia e instrutor	Ruim	Confiabilidade
2018-06-11	Baixei hoje espero que me ajude e motive a perder peso	Bom	Confiabilidade
2018-06-09	vou voltar daquia a 30 dias e digo se deu certo eu perder peso ou n	Ruim	Confiabilidade
2018-06-06	Super índico pois gostei bastante	Bom	Não-Informativo
2018-06-06	"Achei muito bom e da resultado só não dei 5 estrelas porque os vídeos que é 
para tirar dúvidas dos exercícios é em inglês"	Ruim	Não-Informativo
2018-06-04	Esse aplicativo me chamou atenção e instalei	Ruim	Usabilidade
2018-06-04	Comecei hoje e já amei	Bom	Confiabilidade
2018-06-04	" O 
app nos deixa motivadas e você fica com menos preguiça"	Ruim	Confiabilidade
2018-06-04	" Comecei hoje e deu 
uma firmada na musculatura, espero acordar amanhã com dores, pra provar que 
realmente funcionou"	Ruim	Confiabilidade
2018-06-04	 Daqui a 30 dias volto novamente	Ruim	Segurança
2018-05-27	"Gente ele é maravilhoso, ele indica quantas kcal gastamos, vale a pena e é 
super motivacional "	Bom	Não-Informativo
2018-05-22	Gostei, no primeiro dia já sentir diferença ????	Bom	Confiabilidade
2018-05-16	Estou no segundo dia ainda mas estou gostando	Bom	Eficiência
2018-05-14	Mt bom o aplicativo	Bom	Não-Informativo
2018-05-14	Mas tem mts anúncios e isso atrapalha	Ruim	Usabilidade
2018-05-14	Acabei d instalar parece mto bom	Bom	Não-Informativo
2018-05-14	melhor ainda q pega sem internet	Bom	Não-Informativo
2018-05-14	" 
Parece q vou gostar muito"	Bom	Funcionalidade
